"red";"increasespeed";(230,25,75)
"green";"doorkey";(60,180,75)
"yellow";"finishline";(255,255,25)
"blue";"teleport";(0,130,200)
"skyblue";"teleportlocation";(135, 206, 235)
"orange";"regulatesize";(245,130,48)
"purple";"shrinksize";(145,30,180)
"cyan";"None";(70,240,240)
"magenta";"None";(240,50,230)
"lime";"None";(210,245,60)
"pink";"regulatespeed";(250,190,190)
"teal";"None";(0,128,128)
"lavender";"extrashrinksize";(230,190,255)
"brown";"door";(170,110,40)
"beige";"loweralpha";(255,250,200)
"maroon";"None";(128,0,0)
"mint";"None";(170,255,195)
"olive";"None";(128,128,0)
"coral";"regulatealpha";(255,215,180)
"navy";"None";(0,0,128)
"grey128";"startposition";(128,128,128)
"grey170";"emptyblock";(170,170,170)
"white";"None";(255,255,255)
"black";"wall";(0,0,0)
